               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026459,            0.011945,           0.0050898,             0.87244,             0.85137,             0.88654,             0.66873,            0.016264,           0.0044801,           0.0065152,            0.006535,            0.006535,            0.006535
                  37,            0.025848,            0.011759,           0.0043617,             0.89199,             0.87914,             0.89751,              0.6795,            0.015193,            0.004384,           0.0067347,            0.006436,            0.006436,            0.006436
                  38,            0.025245,            0.011836,           0.0047441,             0.89718,             0.85596,             0.88694,             0.67064,            0.015601,           0.0042986,           0.0085173,            0.006337,            0.006337,            0.006337
                  39,            0.024591,            0.011835,           0.0049778,             0.88236,             0.83444,             0.89678,             0.67322,            0.015912,           0.0043267,           0.0083974,            0.006238,            0.006238,            0.006238
                  40,            0.025542,            0.011719,           0.0051166,             0.89921,             0.86147,             0.90208,             0.67118,            0.016181,           0.0041627,           0.0077458,            0.006139,            0.006139,            0.006139
                  41,            0.024758,            0.011623,           0.0044724,             0.89258,              0.8464,             0.90472,             0.68094,            0.016225,           0.0044669,            0.006495,             0.00604,             0.00604,             0.00604
                  42,            0.024828,            0.011729,           0.0044114,             0.93463,             0.84659,             0.91287,             0.69071,            0.015615,           0.0043402,           0.0043009,            0.005941,            0.005941,            0.005941
                  43,            0.024413,            0.011456,           0.0042891,             0.88631,             0.86836,              0.9033,              0.6916,            0.015652,           0.0042931,           0.0087235,            0.005842,            0.005842,            0.005842
                  44,            0.024721,             0.01115,           0.0040642,              0.9184,             0.86953,             0.91335,             0.70393,            0.015471,           0.0042649,           0.0053202,            0.005743,            0.005743,            0.005743
                  45,            0.024429,            0.011448,           0.0038731,             0.90258,             0.86549,             0.89483,             0.69693,            0.016119,           0.0041694,           0.0078388,            0.005644,            0.005644,            0.005644
                  46,            0.023676,            0.011396,           0.0037483,             0.92511,             0.86199,             0.91133,             0.70254,            0.014829,           0.0041748,           0.0060959,            0.005545,            0.005545,            0.005545
                  47,            0.023477,             0.01087,           0.0037475,              0.9103,             0.85432,             0.89572,             0.68666,            0.015555,           0.0043335,           0.0072721,            0.005446,            0.005446,            0.005446
                  48,              0.0239,            0.010999,           0.0038127,             0.87956,             0.85828,             0.89572,             0.69286,            0.014757,           0.0042356,           0.0061751,            0.005347,            0.005347,            0.005347
                  49,            0.023613,            0.011093,           0.0034431,             0.91487,             0.86259,             0.90321,             0.70176,            0.015277,           0.0041565,           0.0072905,            0.005248,            0.005248,            0.005248
                  50,            0.024055,            0.011311,           0.0040371,             0.91621,             0.86597,             0.91279,             0.70832,            0.015195,           0.0041878,           0.0067384,            0.005149,            0.005149,            0.005149
                  51,            0.022624,            0.010995,           0.0037475,             0.92155,             0.85677,             0.89864,             0.70311,            0.014654,           0.0040282,           0.0081794,             0.00505,             0.00505,             0.00505
                  52,            0.023103,            0.011155,           0.0029566,             0.93367,              0.8377,              0.9086,              0.7055,            0.014706,           0.0040519,           0.0074726,            0.004951,            0.004951,            0.004951
                  53,            0.023053,            0.010922,           0.0028888,             0.92176,             0.86906,             0.89823,             0.70718,            0.014921,           0.0041636,           0.0086254,            0.004852,            0.004852,            0.004852
                  54,            0.022757,            0.010885,           0.0034648,             0.90504,             0.85949,             0.89002,             0.69855,             0.01407,           0.0040587,           0.0078402,            0.004753,            0.004753,            0.004753
                  55,            0.022222,            0.010768,           0.0029988,             0.92407,             0.85877,             0.90475,             0.70884,            0.014673,           0.0040294,           0.0078165,            0.004654,            0.004654,            0.004654
                  56,            0.022048,            0.010796,           0.0024466,             0.92896,             0.85394,              0.8936,             0.71133,            0.014172,           0.0040189,           0.0081016,            0.004555,            0.004555,            0.004555
                  57,            0.022054,            0.010819,           0.0027396,             0.92416,             0.86506,             0.90685,             0.71101,            0.015216,           0.0040443,           0.0065546,            0.004456,            0.004456,            0.004456
                  58,            0.021675,            0.010644,           0.0028534,              0.8866,             0.87053,             0.90234,             0.71572,            0.014616,           0.0041721,           0.0064626,            0.004357,            0.004357,            0.004357
                  59,            0.022298,             0.01054,           0.0027636,             0.93106,             0.86836,              0.9047,             0.72668,            0.014123,           0.0039788,           0.0075343,            0.004258,            0.004258,            0.004258
                  60,            0.021131,            0.010573,           0.0027299,              0.9274,             0.86637,             0.90711,             0.71748,            0.014722,           0.0041161,           0.0076582,            0.004159,            0.004159,            0.004159
